Timestamp,Snaps,Æstetik,Initial smag,Eftersmag,Zoinki,Præsentation,Kreativitet,Edikette,Dunst,Damage,Email address,Navn på dommer,Column 13,Column 14,Column 1,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Æstetik,Initial smag,Eftersmag,Zoinki,Præsentation
23/11/2024 15:35:02,Old smokey,5,5,5,3,5,5,5,5,3,,Kim,,,,18,23,18,12,21
23/11/2024 15:35:05,Old smokey,3,5,2,2,4,4,5,5,2,,Joachim,,,,,,,,
23/11/2024 15:35:12,Old smokey,4,5,4,2,4,3,2,5,2,,Mads,,,,,,,,
23/11/2024 15:35:27,Old smokey,3,4,3,3,4,4,2,2,2,,Christian,,,Old,160,,,,
23/11/2024 15:36:08,Old smokey,3,4,4,2,4,4,4,3,1,,Jon,,,Nut,139,,,,
23/11/2024 15:58:40,Farfars Nut-ella,3,4,2,3,3,3,2,4,3,,Victor,,,Irsk,119,,,,
23/11/2024 15:58:44,Farfars Nut-ella,3,4,2,3,4,4,4,5,2,,Mads,,,Fisk,133,,,,
23/11/2024 15:58:53,Farfars Nut-ella,4,4,3,3,3,3,2,2,2,,Kim,,,Sur,117,,,,
23/11/2024 15:59:03,Farfars Nut-ella,4,5,2,3,3,4,1,5,2,,Christian,,,Techo,133,,,,
23/11/2024 15:59:06,Farfars Nut-ella,3,4,3,2,2,3,1,5,3,,Joachim,,,,,,,,
23/11/2024 16:22:32,Irsk kartoffelbryg,1,1,1,5,4,3,1,1,5,,Mads,,,,,,,,
23/11/2024 16:22:34,Irsk kartoffelbryg,1,1,1,5,3,2,1,1,5,,Victor,,,,,,,,
23/11/2024 16:22:38,Irsk kartoffelbryg,2,2,1,4,5,4,2,1,4,,Christian,,,,,,,,
23/11/2024 16:22:43,Irsk kartoffelbryg,1,1,2,5,4,3,3,1,5,,Joachim,,,,,,,,
23/11/2024 16:22:58,Irsk kartoffelbryg,2,2,1,5,4,3,2,3,5,,Jon,,,,,,,,
23/11/2024 17:51:47,Fiskesovs,3,2,2,4,3,4,1,1,4,,Victor,,,,,,,,
23/11/2024 17:51:57,Fiskesovs,1,3,2,4,3,3,1,4,4,,Joachim,,,,,,,,
23/11/2024 17:52:05,Fiskesovs,2,2,5,4,2,4,2,2,5,,Christian,,,,,,,,
23/11/2024 17:52:17,Fiskesovs,2,5,1,4,2,3,1,1,5,,Kim,,,,,,,,
23/11/2024 17:53:13,Fiskesovs,3,2,4,5,3,5,1,4,5,,Jon,,,,,,,,
23/11/2024 18:03:57,Sursnaps,5,3,3,3,1,1,1,5,3,,Victor,,,,,,,,
23/11/2024 18:04:07,Sursnaps,3,4,5,2,1,2,1,5,3,,Mads,,,,,,,,
23/11/2024 18:04:16,Sursnaps,3,3,2,1,1,1,1,5,1,,Joachim,,,,,,,,
23/11/2024 18:04:40,Sursnaps,2,5,3,1,3,1,1,3,1,,Kim,,,,,,,,
23/11/2024 18:04:46,Sursnaps,4,4,4,2,4,3,2,3,2,,Jon,,,,,,,,
23/11/2024 18:40:20,Technotea,3,2,2,2,4,4,1,1,3,,Kim,,,,,,,,
23/11/2024 18:40:20,Technotea,3,3,3,4,5,4,1,1,3,,Victor,,,,,,,,
23/11/2024 18:40:21,Technotea,3,3,4,5,5,4,1,3,5,,Jon,,,,,,,,
23/11/2024 18:40:22,Technotea,2,4,2,5,2,2,1,1,5,,Mads,,,,,,,,
23/11/2024 18:40:28,Technotea,3,3,5,3,4,3,2,1,3,,Christian,,,,,,,,
,,18,0,,,,,,,,,,,,,,,,,